연도,월,일,기온 (°C),강수량 (mm),점심 피크타임 손님 수,저녁 피크타임 손님 수,대인 손님 수,소인 손님 수,테이블 회전률,광어 초밥 판매량,엔가와 초밥 판매량,연어 초밥 판매량,연어롤 판매량,연어 사시미 판매량,장어 초밥 판매량,장어덮밥 판매량,장어롤 판매량,광어 소비량(g),연어 소비량(g),장어 소비량(g)
2019,2,9,4.2,0.0,120,200,251,69,3.8,115,70,131,85,79,57,47,28,8306,8030,2019
2019,2,10,6.5,4.7,120,200,241,79,3.7,115,70,131,85,79,57,47,28,7187,8629,1321
2019,2,11,-0.2,0.0,60,80,105,35,2.5,50,30,57,37,34,22,19,11,3512,3369,450
2019,2,12,6.2,0.0,60,80,109,31,3.2,50,30,57,37,34,22,19,11,3674,3010,386
2019,2,13,3.5,0.5,60,80,107,33,3.4,50,30,57,37,34,22,19,11,3423,4082,531
2019,2,14,-0.5,0.0,60,80,99,41,2.8,50,30,57,37,34,22,19,11,3356,2801,456
2019,2,15,0.7,0.0,60,80,105,35,3.2,50,30,57,37,34,22,19,11,3285,3149,342
2019,2,16,5.0,0.0,120,200,234,86,3.7,115,70,131,85,79,57,47,28,7803,7801,1938
2019,2,17,3.5,0.0,120,200,243,77,3.7,115,70,131,85,79,57,47,28,6663,8461,2005
2019,2,18,-3.0,0.0,51,68,88,31,3.5,42,25,48,31,29,19,16,9,2543,3505,356
2019,2,19,3.6,0.0,60,80,99,41,3.1,50,30,57,37,34,22,19,11,2649,3680,433
2019,2,20,2.6,0.0,60,80,110,30,2.9,50,30,57,37,34,22,19,11,3084,3858,331
2019,2,21,4.4,0.0,60,80,111,29,3.2,50,30,57,37,34,22,19,11,3215,3115,537
2019,2,22,-0.4,0.0,60,80,98,42,2.8,50,30,57,37,34,22,19,11,2698,3730,416
2019,2,23,3.2,0.0,120,200,234,86,3.6,115,70,131,85,79,57,47,28,6663,8910,1625
2019,2,24,3.2,0.0,120,200,233,87,4.2,115,70,131,85,79,57,47,28,7613,8515,2278
2019,2,25,5.3,0.0,60,80,106,34,3.5,50,30,57,37,34,22,19,11,3512,2913,382
2019,2,26,3.2,0.0,60,80,104,36,3.5,50,30,57,37,34,22,19,11,2817,3340,462
2019,2,27,1.5,0.0,60,80,111,29,2.8,50,30,57,37,34,22,19,11,3503,3963,464
2019,2,28,3.6,0.0,60,80,103,37,2.8,50,30,57,37,34,22,19,11,2610,3505,527
2019,3,1,12.7,0.0,66,88,116,38,3.5,58,35,66,42,39,26,22,13,2990,3797,359
2019,3,2,9.2,0.0,132,220,275,77,4.0,134,81,151,99,92,66,55,33,9415,9536,2628
2019,3,3,7.3,0.0,132,220,251,101,4.2,134,81,151,99,92,66,55,33,8277,10104,2097
2019,3,4,4.2,7.1,66,88,115,39,2.8,58,35,66,42,39,26,22,13,3803,3716,481
2019,3,5,14.5,0.0,66,88,121,33,3.5,58,35,66,42,39,26,22,13,4037,3811,576
2019,3,6,4.6,0.0,66,88,111,43,3.3,87,52,99,64,59,39,33,19,3264,3688,608
2019,3,7,6.3,0.0,66,88,108,46,2.7,87,52,99,64,59,39,33,19,3309,3687,544
2019,3,8,5.7,0.0,66,88,118,36,3.5,58,35,66,42,39,26,22,13,3529,3245,434
2019,3,9,9.7,9.5,132,220,279,73,3.6,134,81,151,99,92,66,55,33,7031,7309,2611
2019,3,10,7.4,7.5,132,220,257,95,4.2,134,81,151,99,92,66,55,33,7871,7966,2136
2019,3,11,8.2,0.0,66,88,110,44,2.6,58,35,66,42,39,26,22,13,3488,3794,561
2019,3,12,10.0,0.0,66,88,112,42,3.3,58,35,66,42,39,26,22,13,3006,4498,359
2019,3,13,8.9,0.0,66,88,110,44,3.0,58,35,66,42,39,26,22,13,3112,4077,385
2019,3,14,0.0,0.0,66,88,122,32,3.1,58,35,66,42,39,26,22,13,3383,3630,411
2019,3,15,10.1,4.1,66,88,109,45,2.6,58,35,66,42,39,26,22,13,3090,3533,353
2019,3,16,4.5,14.7,99,176,215,60,4.0,94,57,106,69,65,47,39,23,6408,6800,1856
2019,3,17,7.0,0.0,132,220,272,80,4.0,134,81,151,99,92,66,55,33,8006,8423,2195
2019,3,18,11.1,1.5,66,88,122,32,3.4,58,35,66,42,39,26,22,13,3181,3581,379
2019,3,19,10.8,0.0,66,88,117,37,3.1,58,35,66,42,39,26,22,13,4068,3599,604
2019,3,20,10.0,0.0,66,88,121,33,2.7,58,35,66,42,39,26,22,13,3129,4120,509
2019,3,21,12.8,0.0,66,88,107,47,3.3,58,35,66,42,39,26,22,13,3010,3454,444
2019,3,22,5.9,0.3,66,88,120,34,2.7,58,35,66,42,39,26,22,13,3221,3953,544
2019,3,23,2.2,4.7,132,220,275,77,3.9,134,81,151,99,92,66,55,33,7518,8350,2185
2019,3,24,5.3,17.0,99,176,205,70,3.6,94,57,106,69,65,47,39,23,6911,7271,1750
2019,3,25,8.6,0.0,66,88,119,35,2.9,58,35,66,42,39,26,22,13,4066,3486,593
2019,3,26,10.0,0.0,66,88,116,38,2.7,58,35,66,42,39,26,22,13,3123,4081,536
2019,3,27,5.8,0.0,66,88,122,32,3.0,58,35,66,42,39,26,22,13,3092,3099,419
2019,3,28,6.5,0.0,66,88,120,34,2.8,58,35,66,42,39,26,22,13,3781,3932,431
2019,3,29,7.1,8.7,66,88,109,45,3.1,58,35,66,42,39,26,22,13,3143,3483,519
2019,3,30,3.0,4.0,132,220,279,73,4.3,134,81,151,99,92,66,55,33,9121,9962,2524
2019,3,31,10.0,2.6,132,220,275,77,4.1,134,81,151,99,92,66,55,33,7867,8155,1627
2019,4,1,10.0,0.0,90,120,162,48,2.7,95,57,108,70,64,43,36,21,4995,5583,787
2019,4,2,11.9,0.0,90,120,165,45,3.3,95,57,108,70,64,43,36,21,5391,4918,755
2019,4,3,8.0,3.3,90,120,166,44,2.9,95,57,108,70,64,43,36,21,4818,5223,583
2019,4,4,12.2,0.0,90,120,159,51,3.4,95,57,108,70,64,43,36,21,5112,4790,569
2019,4,5,15.2,0.7,90,120,159,51,2.7,95,57,108,70,64,43,36,21,5049,4662,664
2019,4,6,13.9,0.5,180,300,363,117,4.0,329,199,372,242,226,161,135,80,11280,11572,3400
2019,4,7,10.3,0.0,180,300,378,102,3.8,329,199,372,242,226,161,135,80,10487,11290,1834
2019,4,8,17.9,0.0,90,120,147,63,3.0,95,57,108,70,64,43,36,21,4968,4455,659
2019,4,9,16.1,0.0,90,120,153,57,3.4,95,57,108,70,64,43,36,21,5214,4599,464
2019,4,10,8.9,0.0,90,120,160,50,2.7,95,57,108,70,64,43,36,21,4699,4326,739
2019,4,11,13.7,0.0,90,120,155,55,3.4,95,57,108,70,64,43,36,21,5061,5761,741
2019,4,12,18.9,6.8,90,120,163,47,3.1,95,57,108,70,64,43,36,21,4333,4878,851
2019,4,13,14.9,0.0,180,300,367,113,3.8,219,133,248,162,151,108,90,54,9671,9776,2049
2019,4,14,12.2,7.7,180,300,369,111,4.5,219,133,248,162,151,108,90,54,10361,12155,2708
2019,4,15,13.4,0.0,90,120,163,47,3.5,95,57,108,70,64,43,36,21,5183,6053,772
2019,4,16,13.1,1.2,90,120,157,53,2.8,95,57,108,70,64,43,36,21,4259,5299,516
2019,4,17,12.2,0.0,90,120,147,63,3.2,95,57,108,70,64,43,36,21,3991,4571,572
2019,4,18,13.1,1.2,90,120,160,50,2.7,95,57,108,70,64,43,36,21,5441,4323,775
2019,4,19,16.1,0.0,90,120,165,45,3.2,95,57,108,70,64,43,36,21,4759,4278,646
2019,4,20,14.1,6.7,180,300,379,101,3.7,219,133,248,162,151,108,90,54,12450,11199,2977
2019,4,21,10.9,0.0,180,300,381,99,3.6,219,133,248,162,151,108,90,54,10120,12331,1982
2019,4,22,11.7,0.0,90,120,147,63,2.7,95,57,108,70,64,43,36,21,3865,4221,735
2019,4,23,15.9,3.8,90,120,152,58,2.7,95,57,108,70,64,43,36,21,3942,5178,667
2019,4,24,10.4,0.0,90,120,157,53,2.9,95,57,108,70,64,43,36,21,4129,5037,577
2019,4,25,11.7,0.0,90,120,151,59,3.2,95,57,108,70,64,43,36,21,4690,4308,476
2019,4,26,15.2,1.0,90,120,151,59,3.3,95,57,108,70,64,43,36,21,4017,6005,861
2019,4,27,12.8,0.0,180,300,368,112,4.2,219,133,248,162,151,108,90,54,11069,12411,3327
2019,4,28,14.7,0.0,180,300,347,133,4.4,219,133,248,162,151,108,90,54,10877,9936,2186
2019,4,29,17.2,0.0,90,120,165,45,2.8,95,57,108,70,64,43,36,21,4941,4287,810
2019,4,30,14.8,0.0,90,120,160,50,2.9,95,57,108,70,64,43,36,21,5138,5331,471
2019,5,1,16.1,3.9,66,88,117,37,2.5,64,38,72,47,43,29,24,14,3007,3134,394
2019,5,2,19.3,0.0,66,88,121,33,2.6,64,38,72,47,43,29,24,14,4218,3239,340
2019,5,3,20.1,0.0,72,96,123,45,3.3,76,46,87,56,52,34,29,17,3899,4856,458
2019,5,4,18.9,0.0,132,220,256,96,4.4,147,89,166,108,101,72,60,36,7072,9036,1549
2019,5,5,23.6,0.0,145,242,291,96,3.9,178,108,201,131,122,87,73,43,7490,9447,2588
2019,5,6,18.4,0.0,66,88,121,33,3.1,96,58,108,70,65,43,36,21,4203,4110,593
2019,5,7,18.4,2.0,66,88,111,43,2.6,96,58,108,70,65,43,36,21,2837,3379,568
2019,5,8,20.7,1.4,72,96,127,41,3.3,76,46,87,56,52,34,29,17,4353,3769,368
2019,5,9,21.4,11.9,54,76,99,31,2.9,53,32,60,39,36,24,20,12,2969,2978,274
2019,5,10,18.8,0.0,66,88,118,36,2.9,64,38,72,47,43,29,24,14,3608,3913,447
2019,5,11,16.0,1.2,132,220,275,77,4.2,147,89,166,108,101,72,60,36,8888,10202,1362
2019,5,12,22.0,2.5,145,242,289,98,3.8,178,108,201,131,122,87,73,43,7694,9167,2079
2019,5,13,19.9,6.2,66,88,117,37,3.5,64,38,72,47,43,29,24,14,3005,3741,391
2019,5,14,18.8,1.6,66,88,114,40,2.8,64,38,72,47,43,29,24,14,3494,4592,371
2019,5,15,16.2,0.0,66,88,112,42,3.2,64,38,72,47,43,29,24,14,2854,3987,561
2019,5,16,19.7,7.6,66,88,113,41,2.9,64,38,72,47,43,29,24,14,3854,3597,625
2019,5,17,22.2,0.0,72,96,129,39,3.0,76,46,87,56,52,34,29,17,3699,4751,408
2019,5,18,22.6,12.3,108,193,218,83,4.2,125,76,141,92,86,63,52,31,5791,6540,1314
2019,5,19,19.2,0.0,132,220,248,104,4.2,147,89,166,108,101,72,60,36,6660,10386,2427
2019,5,20,15.5,0.0,66,88,110,44,3.2,64,38,72,47,43,29,24,14,3549,3931,545
2019,5,21,20.7,0.0,72,96,117,51,3.1,76,46,87,56,52,34,29,17,3649,3902,573
2019,5,22,23.4,1.3,72,96,120,48,2.6,76,46,87,56,52,34,29,17,3961,4792,687
2019,5,23,20.3,0.0,72,96,128,40,2.6,76,46,87,56,52,34,29,17,3685,4298,459
2019,5,24,18.7,0.0,66,88,117,37,2.9,64,38,72,47,43,29,24,14,3264,4157,435
2019,5,25,14.9,0.0,132,220,271,81,3.6,147,89,166,108,101,72,60,36,7373,7332,2468
2019,5,26,21.8,0.0,145,242,275,112,3.8,178,108,201,131,122,87,73,43,8248,8795,2158
2019,5,27,21.8,0.0,72,96,120,48,2.6,76,46,87,56,52,34,29,17,3776,4888,405
2019,5,28,18.0,9.8,66,88,117,37,3.3,64,38,72,47,43,29,24,14,3422,4491,497
2019,5,29,21.3,0.0,72,96,126,42,3.2,76,46,87,56,52,34,29,17,4138,3718,513
2019,5,30,19.3,6.9,66,88,119,35,3.5,64,38,72,47,43,29,24,14,3491,3416,622
2019,5,31,14.1,0.0,66,88,110,44,3.3,64,38,72,47,43,29,24,14,3330,4302,476
2019,6,1,23.3,13.6,88,158,182,64,4.2,97,59,110,72,67,49,41,24,5946,6652,1798
2019,6,2,23.9,0.0,118,198,228,88,3.9,139,84,157,102,95,68,57,34,6219,7622,1874
2019,6,3,20.6,0.0,59,79,104,34,2.8,60,36,68,44,41,27,22,13,3232,3029,348
2019,6,4,20.7,0.0,59,79,108,30,3.0,60,36,68,44,41,27,22,13,3468,3798,513
2019,6,5,25.8,5.9,54,72,95,31,3.4,50,30,56,36,34,22,18,11,3101,2733,500
2019,6,6,27.4,0.0,54,72,96,30,3.5,75,45,85,55,51,34,28,17,3048,3233,385
2019,6,7,24.0,0.0,59,79,98,40,2.8,90,54,102,66,61,41,34,20,3293,3519,474
2019,6,8,18.3,0.0,108,180,218,70,4.2,115,69,130,85,79,56,47,28,6463,7979,1385
2019,6,9,26.3,0.0,108,180,227,61,3.7,115,69,130,85,79,56,47,28,6737,8364,1526
2019,6,10,19.6,0.0,54,72,95,31,2.7,50,30,56,36,34,22,18,11,3296,2673,444
2019,6,11,26.6,0.0,54,72,97,29,2.6,50,30,56,36,34,22,18,11,3263,3624,328
2019,6,12,20.0,0.0,59,79,102,36,2.5,60,36,68,44,41,27,22,13,3154,2925,478
2019,6,13,26.9,2.2,54,72,88,38,3.3,50,30,56,36,34,22,18,11,2284,3551,364
2019,6,14,24.6,0.0,59,79,97,41,2.7,60,36,68,44,41,27,22,13,2904,3481,330
2019,6,15,21.0,0.0,118,198,244,72,4.3,139,84,157,102,95,68,57,34,6298,8802,1892
2019,6,16,25.8,5.6,108,180,213,75,3.5,115,69,130,85,79,56,47,28,6865,7743,1096
2019,6,17,24.8,0.0,59,79,108,30,3.2,60,36,68,44,41,27,22,13,3135,3943,417
2019,6,18,20.0,5.4,59,79,109,29,2.6,60,36,68,44,41,27,22,13,3654,3806,556
2019,6,19,22.7,0.0,59,79,102,36,3.0,60,36,68,44,41,27,22,13,3290,3570,468
2019,6,20,19.3,0.0,54,72,98,28,2.7,50,30,56,36,34,22,18,11,2666,3656,293
2019,6,21,21.1,2.8,59,79,100,38,3.4,60,36,68,44,41,27,22,13,2964,3723,308
2019,6,22,21.5,0.0,118,198,244,72,4.3,139,84,157,102,95,68,57,34,8007,7906,2213
2019,6,23,18.4,0.0,108,180,210,78,4.3,115,69,130,85,79,56,47,28,6971,7351,1366
2019,6,24,28.4,8.5,54,72,90,36,3.0,50,30,56,36,34,22,18,11,2623,2768,273
2019,6,25,22.5,0.5,59,79,109,29,2.8,60,36,68,44,41,27,22,13,3037,3136,440
2019,6,26,23.1,3.2,59,79,99,39,3.2,60,36,68,44,41,27,22,13,3368,3831,311
2019,6,27,24.3,2.4,59,79,100,38,3.0,60,36,68,44,41,27,22,13,3455,4076,552
2019,6,28,21.4,4.7,59,79,105,33,3.0,60,36,68,44,41,27,22,13,2635,2795,346
2019,6,29,22.4,0.0,118,198,235,81,4.3,139,84,157,102,95,68,57,34,6041,7062,1835
2019,6,30,24.5,0.0,118,198,231,85,3.9,139,84,157,102,95,68,57,34,8021,9327,1360
2019,7,1,29.3,0.0,42,56,71,27,3.4,35,21,39,25,23,15,13,7,2221,2028,294
2019,7,2,22.5,0.6,46,61,80,27,3.3,42,25,47,31,28,19,15,9,2035,2826,231
2019,7,3,28.2,0.0,42,56,77,21,3.3,35,21,39,25,23,15,13,7,1978,2572,315
2019,7,4,28.5,0.0,42,56,74,24,3.4,35,21,39,25,23,15,13,7,2479,2640,375
2019,7,5,20.1,5.7,46,61,83,24,3.0,42,25,47,31,28,19,15,9,2542,2784,322
2019,7,6,25.2,0.0,84,140,169,55,4.2,121,73,137,89,83,59,49,29,4484,6451,1424
2019,7,7,21.1,1.7,92,154,172,74,3.8,147,89,166,108,101,72,60,36,5955,5525,1185
2019,7,8,27.4,1.1,42,56,76,22,3.1,35,21,39,25,23,15,13,7,2193,2184,358
2019,7,9,22.1,0.0,46,61,84,23,2.5,42,25,47,31,28,19,15,9,2865,2251,438
2019,7,10,28.5,0.0,42,56,74,24,2.7,35,21,39,25,23,15,13,7,1888,2422,305
2019,7,11,25.8,0.0,42,56,75,23,3.0,35,21,39,25,23,15,13,7,2501,2570,278
2019,7,12,27.2,11.8,31,44,53,22,3.4,24,14,27,17,16,11,9,5,1401,1890,251
2019,7,13,22.6,0.0,92,154,191,55,3.7,98,59,110,72,67,48,40,24,6431,5439,1580
2019,7,14,26.6,0.0,84,140,174,50,4.3,81,49,91,59,55,39,33,19,5994,6500,1496
2019,7,15,28.0,0.0,42,56,77,21,3.1,35,21,39,25,23,15,13,7,2242,2657,355
2019,7,16,26.6,0.0,42,56,76,22,2.7,35,21,39,25,23,15,13,7,2592,2485,228
2019,7,17,27.3,0.7,42,56,68,30,3.5,35,21,39,25,23,15,13,7,2044,2728,202
2019,7,18,28.5,0.3,42,56,72,26,3.0,35,21,39,25,23,15,13,7,2445,2580,392
2019,7,19,31.3,0.0,35,47,60,22,2.7,29,17,33,21,20,13,11,6,2005,1787,205
2019,7,20,27.5,0.0,84,140,164,60,4.3,81,49,91,59,55,39,33,19,4303,5657,1409
2019,7,21,20.4,0.0,92,154,188,58,4.1,98,59,110,72,67,48,40,24,5375,5225,925
2019,7,22,25.7,0.0,42,56,77,21,3.3,35,21,39,25,23,15,13,7,2172,2898,295
2019,7,23,28.4,1.5,42,56,72,26,3.3,35,21,39,25,23,15,13,7,2034,2504,211
2019,7,24,30.4,0.0,35,47,59,23,2.9,29,17,33,21,20,13,11,6,1897,2195,252
2019,7,25,25.1,6.0,42,56,75,23,2.9,35,21,39,25,23,15,13,7,2161,1987,241
2019,7,26,26.6,0.0,42,56,76,22,2.7,35,21,39,25,23,15,13,7,2421,2133,230
2019,7,27,32.9,0.0,71,119,148,42,3.9,68,41,77,50,47,33,28,16,4852,5310,1270
2019,7,28,25.8,0.0,84,140,161,63,4.4,81,49,91,59,55,39,33,19,4939,6523,1241
2019,7,29,24.8,0.0,46,61,80,27,3.0,42,25,47,31,28,19,15,9,2760,2952,268
2019,7,30,28.8,0.0,42,56,69,29,2.7,35,21,39,25,23,15,13,7,1895,2132,367
2019,7,31,24.2,0.0,46,61,76,31,3.0,42,25,47,31,28,19,15,9,2463,3132,304
2019,8,1,27.6,0.0,42,56,68,30,3.4,35,21,39,25,23,15,13,7,1917,2144,368
2019,8,2,23.9,0.0,46,61,85,22,2.8,42,25,47,31,28,19,15,9,2811,2188,284
2019,8,3,23.7,1.2,92,154,180,66,4.3,98,59,110,72,67,48,40,24,4571,6908,1131
2019,8,4,22.9,0.0,92,154,174,72,3.8,98,59,110,72,67,48,40,24,4811,6670,1229
2019,8,5,22.6,0.0,46,61,79,28,2.8,42,25,47,31,28,19,15,9,2537,3185,425
2019,8,6,27.6,0.0,42,56,72,26,3.0,52,31,59,38,35,23,19,11,2160,2309,299
2019,8,7,30.3,2.8,35,47,61,21,3.5,44,26,50,32,30,20,16,10,1572,2077,178
2019,8,8,27.8,0.0,42,56,74,24,2.7,35,21,39,25,23,15,13,7,2327,1963,362
2019,8,9,28.2,0.0,42,56,77,21,3.4,35,21,39,25,23,15,13,7,1956,2107,286
2019,8,10,20.2,14.1,69,123,146,46,4.2,68,41,78,50,47,34,28,17,5020,5594,1196
2019,8,11,25.5,0.0,84,140,178,46,3.8,81,49,91,59,55,39,33,19,4801,4747,1646
2019,8,12,27.9,0.7,42,56,74,24,3.0,35,21,39,25,23,15,13,7,2378,2675,311
2019,8,13,24.6,0.0,46,61,80,27,2.7,42,25,47,31,28,19,15,9,2749,2646,270
2019,8,14,26.7,0.0,42,56,76,22,2.6,35,21,39,25,23,15,13,7,2030,2233,263
2019,8,15,26.0,0.0,42,56,71,27,3.4,35,21,39,25,23,15,13,7,2230,2705,263
2019,8,16,27.4,0.0,42,56,70,28,3.5,35,21,39,25,23,15,13,7,2247,2362,209
2019,8,17,30.4,0.0,71,119,138,52,4.0,68,41,77,50,47,33,28,16,4102,5494,1359
2019,8,18,29.1,0.0,84,140,172,52,3.6,81,49,91,59,55,39,33,19,4515,4522,1346
2019,8,19,28.8,0.0,42,56,73,25,3.2,35,21,39,25,23,15,13,7,2015,2620,359
2019,8,20,24.2,0.0,46,61,84,23,3.4,42,25,47,31,28,19,15,9,2470,2932,319
2019,8,21,33.7,0.0,35,47,65,17,2.7,29,17,33,21,20,13,11,6,2053,2186,247
2019,8,22,27.4,8.2,42,56,71,27,3.3,35,21,39,25,23,15,13,7,2433,2668,304
2019,8,23,34.1,0.0,35,47,64,18,2.7,29,17,33,21,20,13,11,6,1756,1870,206
2019,8,24,26.1,0.0,84,140,161,63,4.5,81,49,91,59,55,39,33,19,4530,5535,1544
2019,8,25,25.2,0.0,84,140,178,46,4.2,81,49,91,59,55,39,33,19,4936,4534,1614
2019,8,26,27.1,0.0,42,56,73,25,2.9,35,21,39,25,23,15,13,7,2545,2524,319
2019,8,27,20.6,4.1,46,61,81,26,3.1,42,25,47,31,28,19,15,9,2247,2751,438
2019,8,28,25.5,0.0,42,56,73,25,3.1,35,21,39,25,23,15,13,7,2114,2186,282
2019,8,29,30.8,0.0,35,47,63,19,2.6,29,17,33,21,20,13,11,6,1776,1909,210
2019,8,30,25.9,0.0,42,56,73,25,3.2,35,21,39,25,23,15,13,7,2472,2168,222
2019,8,31,30.7,0.0,71,119,140,50,3.9,68,41,77,50,47,33,28,16,4849,3876,1342
2019,9,1,19.5,0.0,132,220,246,106,3.5,134,81,151,99,92,66,55,33,6885,9192,1563
2019,9,2,26.7,0.0,66,88,121,33,2.6,58,35,66,42,39,26,22,13,4004,3736,372
2019,9,3,17.2,0.0,66,88,116,38,2.6,58,35,66,42,39,26,22,13,3558,3228,573
2019,9,4,18.2,3.7,66,88,112,42,2.8,58,35,66,42,39,26,22,13,2836,3838,374
2019,9,5,24.2,0.8,72,96,132,36,2.9,69,42,79,51,47,31,26,15,3899,4272,573
2019,9,6,26.7,2.1,66,88,120,34,3.2,87,52,99,64,59,39,33,19,4160,3437,409
2019,9,7,20.7,0.0,145,242,273,114,3.8,243,147,275,179,167,119,99,59,6933,10569,2086
2019,9,8,26.9,0.0,132,220,248,104,4.1,134,81,151,99,92,66,55,33,7380,9476,2314
2019,9,9,24.0,0.0,72,96,118,50,3.1,69,42,79,51,47,31,26,15,3786,4092,352
2019,9,10,23.5,2.5,72,96,130,38,3.4,69,42,79,51,47,31,26,15,4279,4156,671
2019,9,11,22.6,3.1,72,96,133,35,3.4,69,42,79,51,47,31,26,15,4576,4376,470
2019,9,12,20.9,0.0,72,96,117,51,2.6,69,42,79,51,47,31,26,15,3689,3741,468
2019,9,13,22.8,2.5,72,96,133,35,3.3,69,42,79,51,47,31,26,15,4309,4226,460
2019,9,14,21.9,0.0,145,242,288,99,4.4,162,98,183,119,111,79,66,39,7248,8518,1549
2019,9,15,26.4,0.0,132,220,271,81,3.6,134,81,151,99,92,66,55,33,9150,10392,1439
2019,9,16,22.5,0.0,72,96,123,45,3.5,69,42,79,51,47,31,26,15,3497,4180,629
2019,9,17,16.7,0.0,66,88,117,37,2.7,58,35,66,42,39,26,22,13,3173,3916,373
2019,9,18,21.7,0.0,72,96,127,41,3.2,69,42,79,51,47,31,26,15,4083,4997,470
2019,9,19,28.7,0.0,66,88,117,37,3.0,58,35,66,42,39,26,22,13,3763,4234,560
2019,9,20,17.2,0.0,66,88,121,33,3.3,58,35,66,42,39,26,22,13,3452,4515,523
2019,9,21,16.1,4.8,132,220,247,105,3.8,134,81,151,99,92,66,55,33,6939,10155,1418
2019,9,22,23.1,1.3,145,242,286,101,4.2,162,98,183,119,111,79,66,39,8080,7930,1852
